tempObjectNumber: 42, Title: Lampstand with hoof feet,  Medium: Bronze,  Dimensions: H.: 39 1/2 in. (100.3 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5665
tempObjectNumber: 43, Title: Earring,  Culture: Cypriot,  Medium: Gold bronze,  Dimensions: Diameter: 9/16 x 1/16 in. (1.4 x 0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3339
tempObjectNumber: 44, Title: Terracotta lekythos (oil flask) with a bird,  Period: Late Classical or Hellenistic,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: H. 3 1/4 in. (8.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.225
tempObjectNumber: 45, Title: Glass cup,  Period: Imperial,  Date: 1st–early 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown ,  Dimensions: Diam.: 5 1/16 in. (12.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.92
tempObjectNumber: 46, Title: Limestone statue of Apollo,  Period: Hellenistic,  Date: ca. 3rd–1st century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 21 x 8 in. (53.3 x 20.3 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2672
tempObjectNumber: 47, Title: Terracotta oinochoe: chous (jug),  Period: Classical,  Date: ca. 420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 8 11/16 in. (22.1 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1937,  Accession Number: 37.11.21
tempObjectNumber: 48, Title: Vase fragment,  Period: Helladic,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: H. 1 3/16 in. (3 cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1923,  Accession Number: 23.119.3
tempObjectNumber: 49, Title: Bronze attachment with satyr head,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 1 1/16 in. (2.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.56
tempObjectNumber: 50, Title: Neck-amphora,  Attribution: the Red-Line Painter,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Height: 10 1/8 in. (25.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.59
tempObjectNumber: 51, Title: Glass jug with chain handle,  Period: Late Imperial,  Date: 3rd–early 4th century A.D.,  Culture: Roman,  Medium: Glass; dip-molded and reinflated trailed and tooled,  Dimensions: Diam.: 3 x 5 1/4 x 2 1/8 in. (7.6 x 13.3 x 5.4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.175
tempObjectNumber: 52, Title: Earring delta-shaped with beads,  Medium: Gold glass,  Dimensions: Other: 5/8 × 1/4 × 1 1/16 in. (1.6 × 0.6 × 2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3939
tempObjectNumber: 53, Title: Terracotta oinochoe (jug),  Attribution: the Painter of Louvre CA 1694,  Period: Classical,  Date: ca. 450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 5 1/4 in. (13.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1101
tempObjectNumber: 54, Title: Bronze statuette of Tyche/Fortuna,  Period: Late Hellenistic or Early Imperial,  Date: ca. 1st century B.C.–1st century A.D.,  Culture: Greek or Roman,  Medium: Bronze,  Dimensions: H. 4 1/2 in. (11.4 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.409
