tempObjectNumber: 65, Title: Mosaic glass inlay,  Period: Hellenistic,  Date: 1st century B.C.–1st century A.D.,  Culture: Egyptian Roman,  Medium: Glass,  Dimensions: Other: 2 1/16 in. (5.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.383
tempObjectNumber: 66, Title: Glass astragal (knucklebone),  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Glass; cast in a two-part mold,  Dimensions: Overall: 5/8 x 7/16 x 7/16 in. (1.6 x 1.1 x 1.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.568
tempObjectNumber: 67, Title: Terracotta rim fragment,  Period: Middle Neolithic,  Date: ca. 4000 B.C.,  Culture: Greek Neolithic,  Medium: Terracotta; Black burnished ware,  Dimensions: length  2 3/4in. (6.9cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.54
tempObjectNumber: 68, Title: Gold openwork hairnet with medallion,  Period: Hellenistic,  Date: ca. 200–150 B.C.,  Culture: Greek Ptolemaic,  Medium: Gold,  Dimensions: H. 2 3/8 in. (6 cm); diameter  3 9/16 in. (9 cm); diameter of disc  2 3/16 in. (5.5 cm),  Classification: Gold and Silver,  Credit Line: Gift of Norbert Schimmel 1987,  Accession Number: 1987.220
tempObjectNumber: 69, Title: Terracotta jug,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 9 5/16 in. (23.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.508
tempObjectNumber: 70, Title: Stone spindle whorl,  Period: Early Minoan III-Middle Minoan I,  Date: ca. 2400–1900 B.C.,  Culture: Minoan,  Medium: Stone,  Dimensions: Diameter 5/8 in. (1.5 cm); H. 7/16 in. (1 cm),  Classification: Miscellaneous-Stone,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.396
tempObjectNumber: 71, Title: Bronze cinerary urn with lid,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Etruscan Campanian,  Medium: Bronze,  Dimensions: H. 19 1/16 in. (48.5 cm),  Classification: Bronzes,  Credit Line: Purchase Joseph Pulitzer Bequest 1940,  Accession Number: 40.11.3a b
tempObjectNumber: 72, Title: Lead sling bullet,  Culture: Cypriot,  Medium: Lead,  Dimensions: length  2 9/16in. (6.5cm),  Classification: Miscellaneous-Lead,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5245
tempObjectNumber: 73, Title: Terracotta amphora (jar),  Attribution: the Lysippides Painter,  Period: Archaic,  Date: ca. 520–510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 20 15/16 in. (53.2 cm),  Classification: Vases,  Credit Line: Gift of Colonel and Mrs. Lewis Landes 1958,  Accession Number: 58.32
tempObjectNumber: 74, Title: Glass perfume bottle,  Period: Imperial,  Date: late 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1384
