tempObjectNumber: 1, Title: Kylix fragment,  Attribution: Douris,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: greatest dim.  6.17 cm.,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1973,  Accession Number: 1973.175.7
tempObjectNumber: 47, Title: Lamp,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 2 3/8 x 4 3/8 in. (6 x 11.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.285
tempObjectNumber: 48, Title: Earring-hook type with pendants,  Medium: Gold,  Dimensions: Other: 3/8 × 3/16 × 1 5/8 in. (1 × 0.5 × 4.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3952
tempObjectNumber: 49, Title: Terracotta vase in the shape of a sandaled right foot,  Period: Classical,  Date: 1st half of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 4 3/4 in. (12 cm); length  8 3/16 in. (20.8 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.31
tempObjectNumber: 50, Title: Statuette of a doll,  Medium: Terracotta,  Dimensions: H. 4 3/8 in. (11.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.48
tempObjectNumber: 51, Title: Terracotta neck-amphora (jar),  Period: Archaic,  Date: ca. 510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 15 1/8 in. (38.4 cm),  Classification: Vases,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.463
tempObjectNumber: 52, Title: Terracotta amphora (jar),  Attribution: the Ivy Leaf Group,  Period: Archaic,  Date: ca. 540–530 B.C.,  Culture: Etruscan,  Medium: Terracotta; black-figure,  Dimensions: H. 13 3/4 in. (35 cm),  Classification: Vases,  Credit Line: Rogers Fund 1948,  Accession Number: 48.11.6
tempObjectNumber: 53, Title: Terracotta neck-amphora (jar) with twisted handles,  Attribution: the Matsch Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 14 3/4 in. (37.5 cm); diameter of mouth  6 5/16 in. (16 cm); diameter of foot  4 9/16 in. (11.5 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.39
tempObjectNumber: 54, Title: Terracotta figure of a youth with lyre on the back of a bird,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: Overall: 11 1/2 x 8 1/2in. (29.2 x 21.6cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1920,  Accession Number: 20.222
tempObjectNumber: 55, Title: Terracotta statuette of a nude woman,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek Cretan,  Medium: Terracotta,  Dimensions: Overall: 8 x 1 7/8 in. (20.3 x 4.7 cm),  Classification: Terracottas,  Credit Line: Gift of Archaeological Institute of America 1953,  Accession Number: 53.5.23
tempObjectNumber: 56, Title: Bronze shield boss with griffin and sphinx frieze,  Period: Archaic,  Date: ca. 650 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: diameter  4 5/16in. (11cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.25
tempObjectNumber: 57, Title: Probe,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 6 1/16in. (15.4cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5514
tempObjectNumber: 58, Title: Glass jug,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 1/4in. (5.7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.112
tempObjectNumber: 59, Title: Gold earring with pearl setting and pendant,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 5/16 x 3/8 x 1 1/16 in. (0.7 x 1 x 2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3810
tempObjectNumber: 60, Title: Gold earring with rosette disk,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Diameter: 1/2 x 1/4 in. (1.3 x 0.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3819
tempObjectNumber: 61, Title: Gold swivel ring with banded agate scarab,  Period: Classical,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Agate banded gold,  Dimensions: Other: 1 3/8 in. (3.5 cm),  Classification: Gems,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.38
tempObjectNumber: 62, Title: Glass alabastron (perfume bottle),  Period: Hellenistic,  Date: 2nd–mid-1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group III,  Dimensions: H.: 4 3/8 in. (11.1 cm),  Classification: Glass,  Credit Line: Gift of Edward Robinson 1911,  Accession Number: 11.108
tempObjectNumber: 63, Title: Terracotta trefoil oinochoe (jug),  Period: Archaic,  Date: ca. 525–500 B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: H.: 13 3/16 in. (33.5 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.111
tempObjectNumber: 64, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 7/8 × 2 7/16 × 5/16 in. (4.7 × 6.1 × 0.8 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.222
tempObjectNumber: 65, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: H.: 13/16 x 1 1/4 in. (2 x 3.2 cm),  Classification: Gems,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1728
tempObjectNumber: 66, Title: Terracotta calyx-krater (bowl for mixing wine and water),  Period: Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H.: 17 3/16 in. (43.7 cm),  Classification: Vases,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.459
tempObjectNumber: 67, Title: Juglet,  Period: Cypro-Archaic II–Cypro-Classical I,  Date: 600–400 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 2 7/8 in. (7.3 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.407
tempObjectNumber: 68, Title: Glass bottle with indented side,  Period: Mid to Late Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: H.: 6 5/16 in. (16 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.203
