tempObjectNumber: 67, Title: Glass medallion with winged Victory,  Period: Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass turquoise blue; cast,  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.270
tempObjectNumber: 68, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 360–340 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 7 x 5 1/2in. (17.8 x 14cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.27
tempObjectNumber: 69, Title: Terracotta dove on a pomegranate,  Period: Late Archaic,  Date: ca. 500–480 B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: Other: 5 1/2 x 2 1/2 x 5 in. (14 x 6.4 x 12.7 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.164.20
tempObjectNumber: 70, Title: Intaglio,  Medium: Garnet,  Dimensions: Other: 5/8 x 1/2 x 1/8 in. (1.6 x 1.2 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.243
tempObjectNumber: 71, Title: One-handled jug signed by Ennion,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a four-part mold,  Dimensions: Diam. of rim: 2 3/4 in. (7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.226
tempObjectNumber: 72, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 3 1/4 in. (3.2 x 8.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2033
tempObjectNumber: 73, Title: Terracotta head of a man wearing a cap,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 1 3/4 in. (4.4 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.67
tempObjectNumber: 74, Title: Terracotta miniature oinochoe (jug),  Period: Early Hellenistic,  Date: ca. 325–300 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta,  Dimensions: 3 1/16in. (7.8cm),  Classification: Vases,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.42
tempObjectNumber: 75, Title: Carnelian bell-shaped stamp seal,  Period: Middle Minoan III,  Date: ca. 1750–1600 B.C.,  Culture: Minoan,  Medium: Carnelian,  Dimensions: Diameter 0.95 cm; H. 1.05 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.147
tempObjectNumber: 76, Title: Silver ring,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek,  Medium: Silver,  Dimensions: Length: 11/16 in. (1.7 cm),  Classification: Gold and Silver,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.496
tempObjectNumber: 77, Title: Kylix fragments,  Attribution: the Chelis Painter,  Period: Late Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1985,  Accession Number: 1985.228.6
tempObjectNumber: 78, Title: Glass mosaic perfume bottle,  Period: Early Imperial,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 1 3/4 in. (4.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.257
tempObjectNumber: 79, Title: Composite jug,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 8 5/8in. (21.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1049
tempObjectNumber: 80, Title: Standing female figurine,  Period: Late Cypro-Archaic II,  Date: late 6th–early 5th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 7 9/16 in. (19.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1578
tempObjectNumber: 81, Title: Lampstand,  Culture: Cypriot,  Medium: Bronze,  Dimensions: H.: 9 7/8 in. (25.1 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5642
tempObjectNumber: 82, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 × 1 3/8 × 3/16 in. (5.1 × 3.6 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.200
tempObjectNumber: 83, Title: Silver jug,  Period: Late Cypro-Archaic I,  Date: ca. 600 B.C.,  Culture: Cypriot,  Medium: Silver,  Dimensions: H. 4 3/16 in. (10.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4588
tempObjectNumber: 84, Title: Coin,  Medium: Silver,  Dimensions: Diameter: 13/16 × 1/8 in. 0.2oz. (2 × 0.3 cm 5.36g),  Classification: Coins,  Credit Line: Gift of J. Pierpont Morgan 1905,  Accession Number: 05.44.161
tempObjectNumber: 85, Title: Sard ring stone,  Period: Late Republican or Imperial,  Date: ca. 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Length: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.128
tempObjectNumber: 86, Title: Bronze lion paw,  Period: Archaic,  Date: 7th century B.C.,  Culture: Possibly Cypriot,  Medium: Bronze,  Dimensions: length  3 in. (7.6 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5568
tempObjectNumber: 87, Title: Bronze fitting possible from a cart or chariot,  Period: Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 6 1/4 in. (15.9 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1918,  Accession Number: 18.145.22
tempObjectNumber: 88, Title: Plaque sima,  Period: Classical,  Date: 5th century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: 4 5/16 in.  (11 cm),  Classification: Terracottas,  Credit Line: Gift of Dr. Herbert Cahn 1993,  Accession Number: 1993.443a b
tempObjectNumber: 89, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Jasper red,  Dimensions: Other: 1/2 x 3/8 x 1/8 in. (1.3 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.902
tempObjectNumber: 90, Title: Wall painting fragment,  Culture: Roman,  Medium: Fresco,  Dimensions: Other: 2 11/16 × 3 × 3/4 in. (6.9 × 7.6 × 1.9 cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of Miss A. Rivier 1930,  Accession Number: 30.142.8
