tempObjectNumber: 63, Title: Jasper Lentoid,  Period: Late Minoan IIIA,  Date: ca. 1400–1375 B.C.,  Culture: Minoan,  Medium: Jasper,  Dimensions: Overall: 11/16 x 13/16 in. (1.8 x 2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.329
tempObjectNumber: 64, Title: Marble column,  Medium: Marble,  Dimensions: Height: 54 1/8 in. (137.5 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1918,  Accession Number: 18.70.23
tempObjectNumber: 65, Title: Handle of a bowl,  Medium: Bronze,  Dimensions: Other: 5 1/16in. (12.8cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5456
tempObjectNumber: 66, Title: Chalcedony Lentoid,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1650–1500 B.C.,  Culture: Minoan,  Medium: Chalcedony burnt,  Dimensions: Diam.: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.196
tempObjectNumber: 67, Title: Wall painting on black ground: Egyptianizing scene and pair of swans from the imperial villa at Boscotrecase,  Period: Early Imperial,  Date: last decade of the 1st century B.C.,  Culture: Roman Pompeian,  Medium: Fresco,  Dimensions: Overall: 91 3/4 x 20 1/8in. (233.1 x 51.1cm),  Classification: Miscellaneous-Paintings,  Credit Line: Rogers Fund 1920,  Accession Number: 20.192.2
tempObjectNumber: 68, Title: Glass ribbed perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: H.: 2 3/16 in. (5.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1325
tempObjectNumber: 69, Title: Glass jug,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 5 13/16 in. (14.8 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.252
tempObjectNumber: 70, Title: Glass bowl,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown cut and abraded,  Dimensions: H. 1 7/8 in. (4.8 cm) diameter  3 9/16 in. (9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.240
tempObjectNumber: 71, Title: Marble cinerary chest with lid,  Period: Early Imperial Julio-Claudian,  Date: ca. A.D. 20–30,  Culture: Roman,  Medium: Marble,  Dimensions: H. 14 5/16 in. (36.4 cm),  Classification: Stone Sculpture,  Credit Line: Purchase 1896,  Accession Number: 96.9.222a b
tempObjectNumber: 72, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 7/8 × 2 7/8 × 2 7/16 in. (7.4 × 7.4 × 6.2 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.76
tempObjectNumber: 73, Title: Gold roundel of bulbous form,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 7/16 in. (3.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3028
tempObjectNumber: 74, Title: Handle of a sistrum,  Medium: Clay glazed,  Dimensions: Other: 2 5/8 x 13/16 x 7/16 in. (6.7 x 2.1 x 1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4494
tempObjectNumber: 75, Title: Glass jug,  Period: Imperial,  Date: 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 9/16 in. (9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.254
tempObjectNumber: 76, Title: Earring crescent-shaped decorated,  Medium: Gold,  Dimensions: Other: 13/16 × 7/8 × 1/8 in. (2 × 2.3 × 0.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3891
tempObjectNumber: 77, Title: Earring or spiral,  Culture: Cypriot,  Medium: Gold bronze,  Dimensions: Diameter: 9/16 x 1/16 x 3/16 in. (1.4 x 0.2 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3343
tempObjectNumber: 78, Title: Fibula,  Period: Late Bronze Age,  Culture: Italic,  Medium: Bronze,  Dimensions: H.: 7/8 x 1 1/2 in. (2.2 x 3.8 cm),  Classification: Bronzes,  Credit Line: Purchase 1923,  Accession Number: 23.138.3
tempObjectNumber: 79, Title: Steatite Lentoid,  Period: Late Minoan III,  Date: ca. 1350–1200 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: Overall: 11/16 x 11/16 in. (1.7 x 1.8 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.309
tempObjectNumber: 80, Title: Bronze sanguisuga-type fibula (safety pin),  Period: Archaic,  Date: 710–675 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: Other: 3 15/16 in. (10 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.352
tempObjectNumber: 81, Title: Flint arrowhead,  Period: Neolithic,  Date: 5th–4th millennium B.C.,  Culture: Greek Neolithic,  Medium: Flint,  Dimensions: W. 1/2 in. (1.2 cm.),  Classification: Miscellaneous-Stone,  Credit Line: Gift of Garrett Chatfield Pier 1910,  Accession Number: 10.224.7
tempObjectNumber: 82, Title: Intaglio,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Phrygian,  Medium: Carnelian,  Dimensions: Other: 11/16 x 1 3/8 x 3/8 in. (1.8 x 3.5 x 1 cm),  Classification: Gems,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.25
tempObjectNumber: 83, Title: Terracotta vessel fragment with marine motif,  Period: Late Minoan II,  Date: ca. 1450–1400 B.C.,  Culture: Minoan,  Medium: Terracotta; Dark-on-light ware,  Dimensions: Overall: 2 x 1 3/16in. (5.1 x 3cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.59
tempObjectNumber: 84, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: fragment 2: 1 1/2 × 1 7/16 × 1/2 in. (3.9 × 3.7 × 1.2 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1713
tempObjectNumber: 85, Title: Vase fragment,  Period: Archaic,  Date: ca. 600–550 B.C.,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: 1 7/16 × 1 5/16 × 1/4 in. (3.6 × 3.4 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.208
tempObjectNumber: 86, Title: Wall painting from Room H of the Villa of P. Fannius Synistor at Boscoreale,  Period: Late Republican,  Date: ca. 50–40 B.C.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 70 x 40 1/4in. (177.8 x 102.2cm),  Classification: Miscellaneous-Paintings,  Credit Line: Rogers Fund 1903,  Accession Number: 03.14.7
tempObjectNumber: 87, Title: Lid of a stamnos,  Period: Classical,  Date: late 5th century B.C.,  Culture: Etruscan,  Medium: Terracotta; red-figure,  Dimensions: diameter  18.49 cm.,  Classification: Vases,  Credit Line: Gift of Mrs. Paul Hammond 1976,  Accession Number: 1976.220
tempObjectNumber: 88, Title: Terracotta amphora (jar),  : Pose attributed to Praxias Group,  Period: Classical,  Date: ca. 480–460 B.C.,  Culture: Etruscan,  Medium: Terracotta; superposed red,  Dimensions: 8 1/4in. (21cm),  Classification: Vases,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.6
tempObjectNumber: 89, Title: Seal,  Culture: Minoan Crete,  Medium: Carnelian,  Dimensions: Other: 1/2 x 5/8 x 1/4 in. (1.2 x 1.7 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.215
tempObjectNumber: 90, Title: Hydria,  Period: Late Archaic,  Date: ca. 490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Height: 8 7/8 in. (22.5 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.63
