tempObjectNumber: 43, Title: Glass jug,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman Rhenish,  Medium: Glass; blown and trailed,  Dimensions: H.: 4 1/8 in. (10.5 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.184
tempObjectNumber: 44, Title: Agate ring stone,  Period: Late Republican or Imperial,  Date: ca. 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Agate,  Dimensions: Length: 1/2 in. (1.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.969
tempObjectNumber: 45, Title: Glass lid,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: 1 5/8in. (4.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5824
tempObjectNumber: 46, Title: Terracotta kylix: lip-cup (drinking cup),  Period: Archaic,  Date: ca. 530–520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 5 1/8 in. (13 cm),  Classification: Vases,  Credit Line: Rogers Fund 1951,  Accession Number: 51.11.11
tempObjectNumber: 47, Title: Limestone statuette of Eros,  Culture: Cypriot,  Medium: Hard limestone,  Dimensions: Overall: 10 x 4 1/8 x 5 1/4 in. (25.4 x 10.5 x 13.3 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2670
tempObjectNumber: 48, Title: Limestone figure wearing a mask,  Period: Archaic,  Date: 2nd quarter of the 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 8 7/16 in. (21.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2515
tempObjectNumber: 49, Title: Glass pendant in the shape of Harpokrates,  Period: Hellenistic,  Date: late 2nd–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass molded; cast in a two-part mold,  Dimensions: H.: 1 1/8 in. (2.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.422
tempObjectNumber: 50, Title: Terracotta hydria: kalpis (water jar),  : Recalls the Dikaios Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  15 5/8 in. (39.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.2
tempObjectNumber: 51, Title: Fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 11/16 x 1 3/8 in. (1.7 x 3.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1751
tempObjectNumber: 52, Title: Mosaic glass inlay,  Period: Hellenistic,  Date: 1st century B.C.–1st century A.D.,  Culture: Egyptian Roman,  Medium: Glass,  Dimensions: Other: 1 9/16 in. (3.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.385
tempObjectNumber: 53, Title: Glass alabastron (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 2 7/8 x 1 in. 3.3 cm (7.3 x 2.6 x 3.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.778
tempObjectNumber: 54, Title: Gold ring,  Period: Classical,  Date: 2nd half of 5th century B.C.,  Culture: Greek,  Medium: Gold,  Classification: Gold and Silver,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.36
tempObjectNumber: 55, Title: Terracotta bowl,  Period: Late Cypriot II,  Date: ca. 1450–1200 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 6 1/8in. (15.6cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1142
tempObjectNumber: 56, Title: Glass bowl,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Diam.: 4 1/4 in. (10.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1285
tempObjectNumber: 57, Title: Chalcedony Lentoid,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1650–1500 B.C.,  Culture: Minoan,  Medium: Chalcedony,  Dimensions: Diam.: 9/16 in. (1.4 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.260
tempObjectNumber: 58, Title: Jug,  Period: Early Bronze Age,  Date: ca. 3200–2000 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 2 15/16 in. (7.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1346
tempObjectNumber: 59, Title: Intaglio,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 5/8 x 1/2 x 1/8 in. (1.5 x 1.3 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.959
tempObjectNumber: 60, Title: Bronze lamp,  Period: Late Imperial,  Date: ca. 4th century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. without lid 2 in. (5.1 cm),  Classification: Bronzes,  Credit Line: Purchase 1901,  Accession Number: 01.17.1
tempObjectNumber: 61, Title: Terracotta neck-amphora (jar),  Period: Classical,  Date: 5th century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-figure,  Dimensions: H.: 11 11/16 in. (29.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.43
tempObjectNumber: 62, Title: Lamp,  Medium: Terracotta,  Dimensions: Length 8.9 cm.  H. 2.4 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1999
tempObjectNumber: 63, Title: Jug,  Period: Geometric,  Date: 9th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Other (height with handle): 6 1/8in. (15.5cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.28
tempObjectNumber: 64, Title: Bronze youth,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek Cretan,  Medium: Bronze,  Dimensions: H. 5 9/16 in. (14.1 cm),  Classification: Bronzes,  Credit Line: Edith Perry Chapman Fund 1947,  Accession Number: 47.11.8
tempObjectNumber: 65, Title: Terracotta pelike (jar),  Attribution: the manner of the Pig Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter of foot  5 3/8 in. (13.7 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.43
