tempObjectNumber: 63, Title: Bronze dupondius of Vespasian,  Period: Early Imperial,  Date: A.D. 72–73,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 1 1/16 x 1/8 in. (2.7 x 0.4 cm),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.116
tempObjectNumber: 64, Title: Strainer,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 11 3/4in. (29.9cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5614
tempObjectNumber: 65, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 1/2in. (6.3cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.64
tempObjectNumber: 66, Title: Relief: Dancing Maenad,  Medium: Plaster,  Accession Number: 35.139
tempObjectNumber: 67, Title: Earring with head of lynxes,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other (.93): 1 × 5/16 × 7/8 in. (2.5 × 0.9 × 2.3 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.92 .93
tempObjectNumber: 68, Title: Bronze statuette of Herakles,  Period: Hellenistic,  Date: ca. 3rd–1st century B.C.,  Culture: Italic,  Medium: Bronze,  Dimensions: H. 5 11/16 in. (14.4 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.422
tempObjectNumber: 69, Title: Bead,  Medium: Glass,  Dimensions: Other: 3/8 x 1/4 in. (0.9 x 0.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.669
tempObjectNumber: 70, Title: Terracotta appliqué,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 2 7/8 in. (7.3 cm); length 7 5/16 in. (18.5 cm),  Classification: Terracottas,  Credit Line: Purchase Abraham Foundation Gift 1997,  Accession Number: 1997.135
tempObjectNumber: 71, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 2 9/16 × 2 1/8 × 1/8 in. (6.5 × 5.4 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1730
tempObjectNumber: 72, Title: Gold earring with disc and pendant,  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 7/16 x 3/8 x 7/8 in. (1.2 x 0.9 x 2.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3756
tempObjectNumber: 73, Title: Earring with plain loop and disc,  Medium: Gold,  Dimensions: Other: 1/2 x 3/16 x 9/16 in. (1.3 x 0.5 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3724
tempObjectNumber: 74, Title: Fragmentary glass beaker,  Period: Mid-Imperial,  Date: ca. 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown cut and cold-painted,  Dimensions: Overall (22.2.37): 5 5/16 x 2 3/4 in. (13.5 x 7 cm),  Classification: Glass,  Credit Line: Rogers Fund 1922,  Accession Number: 22.2.36 .37
