tempObjectNumber: 41, Title: Limestone head of a bearded male with a diadem,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 12 1/4 in. (31.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2839
tempObjectNumber: 42, Title: Terracotta bell,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made,  Dimensions: H. 2 11/16 in. (6.8 cm); diameter  3 in. (7.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.960
tempObjectNumber: 43, Title: Bronze helmet of Apulian-Corinthian type,  Period: Late Classical or Hellenistic,  Date: mid-4th–mid-3rd century B.C.,  Culture: Greek South Italian,  Medium: bronze,  Dimensions: depth  12 1/4 in. (31.1 cm),  Classification: Bronzes,  Credit Line: Bequest of Bill Blass 2002,  Accession Number: 2003.407.4
tempObjectNumber: 44, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Jasper red,  Dimensions: Other: 1/2 x 3/8 x 1/8 in. (1.3 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.460
tempObjectNumber: 45, Title: Gold earring with winged figure,  Period: Hellenistic,  Date: 3rd‒2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Diam.: 13/16 in. (2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3506
tempObjectNumber: 46, Title: Standing female figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 13 5/8 in. (34.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1580
tempObjectNumber: 47, Title: Terracotta amphora with lid,  Period: Archaic,  Date: 3rd quarter of the 6th century B.C.,  Culture: Etruscan,  Medium: Terracotta; black-figure Pontic ware,  Dimensions: H.: 14 3/8 in. (36.5 cm),  Classification: Vases,  Credit Line: The Bothmer Purchase Fund 2012,  Accession Number: 2012.26a b
tempObjectNumber: 48, Title: Cameo glass cup fragment,  Period: Early Imperial Augustan or Julio-Claudian,  Date: late 1st century B.C.–mid-1st century A.D.,  Culture: Roman,  Medium: Glass; cast and cut,  Dimensions: Overall: 3 7/16 x 3 1/16 in. (8.8 x 7.8 cm),  Classification: Glass,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.47
tempObjectNumber: 49, Title: Terracotta architectural tile,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: Other: 9 7/8 in. (25.1 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.164.1
tempObjectNumber: 50, Title: Gold earring with disc and pendant (missing),  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 3/8 x 1/4 x 8 3/16 in. (1 x 0.6 x 20.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3775
tempObjectNumber: 51, Title: Statuette of a girl with lotus,  Medium: Bronze,  Dimensions: H.: 4 7/8 in. (12.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1104
tempObjectNumber: 52, Title: Earring-loop type plain,  Medium: Gold,  Dimensions: Other: 11/16 x 1/16 x 9/16 in. (1.8 x 0.2 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3835
tempObjectNumber: 53, Title: Terracotta statuette of a woman,  Period: Hellenistic,  Date: late 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H.: 11 3/8 in. (28.9 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.18
tempObjectNumber: 54, Title: Earring in the form of a vase,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Medium: Gold carnelian,  Dimensions: Height: 7/8 in. (2.2 cm),  Classification: Gold and Silver,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.41
tempObjectNumber: 55, Title: Wall painting fragment,  Date: 1st century A.D.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 6 1/2 x 4 5/8 x 1/2 in. (16.5 x 11.8 x 1.3 cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of Miss A. Rivier 1930,  Accession Number: 30.142.4
tempObjectNumber: 56, Title: Terracotta cinerary urn,  Period: Hellenistic,  Date: 2nd century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall (with lid): 13 3/4 x 13 3/4 x 8 in. (35 x 34.9 x 20.3 cm),  Classification: Terracottas,  Credit Line: Purchase 1896,  Accession Number: 96.9.220a b
tempObjectNumber: 57, Title: Limestone statuette of a “hunter” in Egyptianizing dress,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: H.:4 1/2 x W.:3 x D.:2 3/8 in. (11.4 x 7.6 x 6 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2589
tempObjectNumber: 58, Title: Kylix Fragment,  Attribution: the Stieglitz Painter,  Period: Classical,  Date: ca. 470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Anonymous Gift 1978,  Accession Number: 1978.545
tempObjectNumber: 59, Title: Earring with head of lions,  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other (.42): 1 × 5/16 × 15/16 in. (2.6 × 0.8 × 2.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.41 .42
tempObjectNumber: 60, Title: Bi-conical glass bead,  Period: Classicalq1,  Date: ca. 4th century B.C.,  Culture: Possibly Carthaginian,  Medium: Glass; rod-formed and trailed,  Dimensions: 1 7/8 × 1 × 7/8 in. (4.7 × 2.6 × 2.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.190.112
tempObjectNumber: 61, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 4 3/4 x 5 1/8in. (12 x 13cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.164
