tempObjectNumber: 42, Title: Glass beaker,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown in a dip mold and trailed,  Dimensions: H.: 4 3/8 in. (11.1 cm),  Classification: Glass,  Credit Line: Gift of Mrs. Elias Kempner 1934,  Accession Number: 34.132.35
tempObjectNumber: 43, Title: Bronze mitra (belly guard),  Period: Archaic,  Date: late 7th century B.C.,  Culture: Greek Cretan,  Medium: Bronze,  Dimensions: width 8 11/16 in. (22 cm),  Classification: Bronzes,  Credit Line: Gift of Norbert Schimmel Trust 1989,  Accession Number: 1989.281.53
tempObjectNumber: 44, Title: Glass amphoriskos (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 3 in. (7.6 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.341
tempObjectNumber: 45, Title: Gold funerary wreath,  Period: Classical,  Date: 4th–3rd century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: length  13 1/8in. (33.3cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.250
tempObjectNumber: 46, Title: Intaglio in ring,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Agate gold,  Dimensions: Other: 13/16 x 3/4 x 1/4 in. (2 x 1.9 x 0.6 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.561
tempObjectNumber: 47, Title: Two gold beads,  Period: Late Classical?,  Date: possibly 4th–3rd century B.C.,  Culture: Greek?,  Medium: Gold,  Dimensions: Other (each): 11/16 in. (1.7 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1895,  Accession Number: 95.16.15 .16
tempObjectNumber: 48, Title: Cameo glass cup (scyphus) fragment,  Period: Early Imperial Augustan or Julio-Claudian,  Date: late 1st century B.C.–mid-1st century A.D.,  Culture: Roman,  Medium: Glass; cast in two layers or blown and cased then carved,  Dimensions: Overall: 2 3/16 x 1 3/16 in. (5.6 x 3 cm),  Classification: Glass,  Credit Line: Rogers Fund 1912,  Accession Number: 12.229.22
tempObjectNumber: 49, Title: Faience amulet in the form of the dwarf god Pataikos,  Period: Late Dynastic–Hellenistic,  Date: 664–30 B.C.,  Culture: Egyptian,  Medium: Clay glazed,  Dimensions: H.: 1 15/16 in. (5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4464
tempObjectNumber: 50, Title: Jug,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 10in. (25.4cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.635
tempObjectNumber: 51, Title: Askos or pyxis fragments,  Period: Late Classical,  Date: ca. 400–350 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Overall: 1 5/8 x 1 7/8in. (4.1 x 4.7cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.98 .99
tempObjectNumber: 52, Title: Head of a goddess,  Period: Late Classical,  Date: 4th–3rd century B.C.,  Culture: Greek Sicilian,  Medium: Terracotta,  Dimensions: H. 11 in. (28 cm),  Classification: Terracottas,  Credit Line: Gift of Andrea and Donatella Hecht 1981,  Accession Number: 1981.472.2
tempObjectNumber: 53, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 3 7/8 in. (2.9 x 9.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2188
