tempObjectNumber: 51, Title: Terracotta calyx-krater (bowl for mixing wine and water),  Attribution: the Painter of the Berlin Hydria,  Period: Classical,  Date: ca. 460–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  22 15/16 in. (58.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.86
tempObjectNumber: 52, Title: Vase miniature for perfume,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Electrum,  Dimensions: Diameter (.b): 3/16 × 1/8 in. (0.5 × 0.4 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.63a b
tempObjectNumber: 53, Title: Glass pendant in the form of a bird,  Date: 425–200 B.C.,  Culture: Phoenician or Carthaginian,  Medium: Glass; rod-formed and trailed,  Dimensions: Other: 11/16 x 7/16 x 13/16 in. (1.8 x 1.1 x 2.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.444
tempObjectNumber: 54, Title: Glass alabastron (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 4 1/16 in. (10.3 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.313
tempObjectNumber: 55, Title: Bronze handle of a patera (shallow saucepan),  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: L. 6 5/8 in. (16.8 cm),  Classification: Bronzes,  Credit Line: Purchase 1900,  Accession Number: 00.13.18
tempObjectNumber: 56, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: 215 B.C.,  Culture: Greek Egypt Alexandria-Hadra,  Medium: Terracotta,  Dimensions: Overall: 18 13/16 x 12 1/4 in. (47.8 x 31.1 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.17
tempObjectNumber: 57, Title: Bronze statuette of drunken Herakles,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 6 1/8 in. (15.60 cm),  Classification: Bronzes,  Credit Line: Purchase Samuel P. Avery Memorial Fund 1915,  Accession Number: 15.57
tempObjectNumber: 58, Title: Jug,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 5in. (12.7cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.710
tempObjectNumber: 59, Title: Bronze chisel,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 10 1/4 in. (26 cm),  Classification: Bronzes,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.480
tempObjectNumber: 60, Title: Terracotta head of a woman,  Period: Classical,  Date: late 5th–4th century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 3 7/8 in. (9.8 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.106
tempObjectNumber: 61, Title: Glass plaque with foliage,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; cast in an open mold in two layers,  Dimensions: Overall: 3 1/8 x 3/8 x 1 15/16 in. (8 x 1 x 4.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.368
tempObjectNumber: 62, Title: Glass alabastron (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 4 5/16 in. (11 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.301
tempObjectNumber: 63, Title: Kylix,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 5 1/2in. (14cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5903
tempObjectNumber: 64, Title: Glass globular bottle,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: H.: 5 7/8 in. (15 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.317
