tempObjectNumber: 1, Title: Gold stater,  Period: Hellenistic,  Date: 323–315 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Base: 3/4 in. (1.9 cm),  Classification: Coins,  Credit Line: Gift of Edmund Kerper Esq. 1952,  Accession Number: 52.127.2
tempObjectNumber: 51, Title: Kylix fragment,  Attribution: the Washing Painter,  Period: Classical,  Date: ca. 430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1973,  Accession Number: 1973.127
tempObjectNumber: 52, Title: Denarius,  Date: ca. A.D. 176–177,  Culture: Roman,  Medium: Silver,  Dimensions: Diameter: 3/4 × 1/16 in. 0.1oz. (1.9 × 0.2 cm 3.29g),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.332
tempObjectNumber: 53, Title: Amulet pendant djed sign,  Medium: Clay glazed,  Dimensions: Other: 15/16 x 5/16 x 5/16 in. (2.4 x 0.8 x 0.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4515
tempObjectNumber: 54, Title: Kylix,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 5 1/16in. (12.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5897
tempObjectNumber: 55, Title: Bronze spit,  Period: Archaic,  Date: ca. 550–525 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 39 5/16 in. (99.9 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.23.28
tempObjectNumber: 56, Title: Stucco relief with goat,  Period: Early Imperial Augustan,  Date: 1st century A.D.,  Culture: Roman,  Medium: Stucco,  Dimensions: Overall: 5 1/2 x 5 x 1 1/4 in. (14 x 12.7 x 3.2 cm),  Classification: Miscellaneous-Stucco,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.85
tempObjectNumber: 57, Title: Bead ornaments 2 female masks,  Medium: Gold,  Dimensions: Other (.332): 5/8 × 1/2 × 3/16 in. (1.5 × 1.3 × 0.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.331 .332
tempObjectNumber: 58, Title: Terracotta stirrup jar,  Period: Late Helladic IIIB,  Date: ca. 1300–1190 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: H. 7 5/16 in. (18.6 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.748
tempObjectNumber: 59, Title: Marble portrait of the emperor Augustus,  Period: Early Imperial Julio-Claudian,  Date: ca. A.D. 14–37,  Culture: Roman,  Medium: Marble,  Dimensions: H. 12 in. (30.48 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.115
tempObjectNumber: 60, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 8.1 cm.  H. 2.4 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1995
tempObjectNumber: 61, Title: Marble statue of a woman,  Period: Imperial,  Date: 1st or 2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. 65 in. (165.1 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Mrs. Frederick F. Thompson 1903,  Accession Number: 03.12.10a
tempObjectNumber: 62, Title: Hydria,  Attribution: the Syleus Painter,  Period: Late Archaic,  Date: ca. 490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  11 1/2 in. (29.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.1
tempObjectNumber: 63, Title: Ivory pin,  Date: late 2nd–3rd century A.D.,  Culture: Roman,  Medium: Ivory,  Dimensions: Diam.: 4 in. (10.2 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.281
tempObjectNumber: 64, Title: Terracotta oinochoe (jug),  Period: Geometric,  Date: ca. 900 B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 2 1/2 in. (6.3 cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.40
tempObjectNumber: 65, Title: Lekythos,  Attribution: the Aischines Painter,  Period: Classical,  Date: 2nd quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 6 3/4 in. (17.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.254
tempObjectNumber: 66, Title: Horse figurine,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 10 15/16 in. (27.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1770
tempObjectNumber: 67, Title: Ring,  : Emile Gilliéron,  Dimensions: Other: 13/16 × 9/16 × 13/16 × 13/16 in. (2.1 × 1.5 × 2.1 × 2 cm),  Accession Number: 30.121
tempObjectNumber: 68, Title: Glass aryballus (oil bottle) with bronze suspension chain,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass Bronze; blown,  Dimensions: H. 3 3/8 in. (8.6 cm); diameter  3 1/8 in. (7.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.193
tempObjectNumber: 69, Title: Bronze hydria (water jar),  Period: Classical,  Date: early 4th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Other: 19 x 18 5/16 in. (48.3 x 46.5 cm),  Classification: Bronzes,  Credit Line: Purchase Joseph Pulitzer Bequest 1957,  Accession Number: 57.11.12
tempObjectNumber: 70, Title: Juglet,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 13/16in. (12.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.752
tempObjectNumber: 71, Title: Glass globular bottle,  Period: Early to Mid Imperial,  Date: mid-1st–early 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 6 13/16 in. (17.3 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.208
tempObjectNumber: 72, Title: Terracotta statuette of an old nurse holding a child,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H. 5 in. (12.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.5
tempObjectNumber: 73, Title: Standing female kithara player,  Period: Cypro-Classical II,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 12 1/8 in. (30.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1671
tempObjectNumber: 74, Title: Juglet,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 3/4in. (9.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1151
tempObjectNumber: 75, Title: Glass bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: Other: 3 5/16in. (8.4cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.83
tempObjectNumber: 76, Title: Bronze water spout in the form of a lion mask (one of a pair),  Period: Late Hellenistic or Early Imperial,  Date: ca. 100 B.C.–A.D. 100,  Culture: Greek or Roman,  Medium: Bronze,  Dimensions: Other: 5 1/8 x 6 1/2 in. (13 x 16.5 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5678
tempObjectNumber: 77, Title: Terracotta cup,  Period: Imperial,  Date: ca. A.D. 100,  Culture: Roman,  Medium: Terracotta,  Dimensions: Other: 3 7/8in. (9.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.373
tempObjectNumber: 78, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Chalcedony,  Dimensions: Other: 1/2 x 3/8 x 1/16 in. (1.2 x 1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1046
tempObjectNumber: 79, Title: Limestone votive relief,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 8 x 12 1/4 x 1 1/4 in. (20.3 x 31.1 x 3.2 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2372
tempObjectNumber: 80, Title: Terracotta lekythos (oil flask),  Attribution: the manner of the Sappho Painter,  Period: Late Archaic,  Date: ca. 500–490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 7 1/16 in. (18 cm); diameter of body 2 15/16 in. (7.5 cm); diameter of mouth 1 9/16 in. (3.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1966,  Accession Number: 66.11.4
tempObjectNumber: 81, Title: Terracotta flask with ring-shaped body,  Period: Cypro-Geometric III–Cypro-Archaic I,  Date: 850–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 6 3/4 in. (17.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.651
tempObjectNumber: 82, Title: Terracotta guttus with lid (flask with handle and spout),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-glaze,  Dimensions: Overall: 2 3/8 x 3 15/16in. (6 x 10.1cm),  Classification: Vases,  Credit Line: Rogers Fund 1964,  Accession Number: 64.11.5a b
tempObjectNumber: 83, Title: Bronze handle,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H.: 1 1/8 x 3 7/16 in. (2.9 x 8.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1955,  Accession Number: 55.11.2
tempObjectNumber: 84, Title: Bronze instrument,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 3 9/16 in. (9.1 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.132
tempObjectNumber: 85, Title: Fragment of a terracotta relief,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 3 1/2 in. (8.89 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.153
tempObjectNumber: 86, Title: Limestone male head,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 15 x 9 x 11 in. (38.1 x 22.9 x 27.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2836
tempObjectNumber: 87, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 3 1/16 × 2 3/8 × 3/8 in. (7.8 × 6.1 × 1 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.121
tempObjectNumber: 88, Title: Block-wall,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 3 1/8 x 9 1/4 x 2 1/2 in. (7.9 x 23.5 x 6.4 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2307
