tempObjectNumber: 51, Title: Glass cameo: Dionysos and a nymph,  Period: Late Republican or Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass ? opaque on blue,  Dimensions: 59/64 x 1 11/64 x 11/64 in.  (2.3 x 3.0 x 0.4 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.9
tempObjectNumber: 52, Title: Glass ring stone,  Period: Hellenistic,  Date: ca. 3rd–2nd century B.C.,  Culture: Greek,  Medium: Glass brown,  Dimensions: Length: 1 1/4 in. (3.2 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.26
tempObjectNumber: 53, Title: Glass bowl,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3 7/16 in. (8.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.117
tempObjectNumber: 54, Title: Vase fragment,  Culture: Greek Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 9/16in. (2.8 x 1.5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.197
tempObjectNumber: 55, Title: Agate ring stone,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Italic,  Medium: Agate,  Dimensions: Length: 1/2 in. (1.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.26
tempObjectNumber: 56, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 3/4 x 1 3/16 in. (1.9 x 3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1978
tempObjectNumber: 57, Title: Lekythos,  Attribution: the Quadrate Painter,  Period: Classical,  Date: ca. 420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure white ground,  Dimensions: Diameter: 2 15/16 × 1 15/16 × 2 3/16 in. (7.5 × 4.9 × 5.5 cm),  Classification: Vases,  Credit Line: Gift of Samuel G. Ward 1875,  Accession Number: 75.2.5
tempObjectNumber: 58, Title: Ring-kernos,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 7in. (17.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.687
tempObjectNumber: 59, Title: Askos in the form of an animal,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 7 1/16in. (18cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.816
tempObjectNumber: 60, Title: Hemispherical ribbed glass bowl,  Period: Early Imperial,  Date: late 1st century B.C.–mid-1st century A.D.,  Culture: Roman,  Medium: Glass; cast tooled and cut,  Dimensions: Diam.: 5 1/2 in. (14 cm),  Classification: Glass,  Credit Line: Bequest of Benjamin Altman 1913,  Accession Number: 14.40.806
tempObjectNumber: 61, Title: Yellow glass ring stone,  Period: Late Republican or Imperial,  Date: ca. 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass yellow paste,  Dimensions: Length: 1 1/8 in. (2.8 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.47
tempObjectNumber: 62, Title: Bead with pomegranate,  Medium: Gold,  Dimensions: Height: 5/16 x 3/16 in. (0.7 x 0.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3640
tempObjectNumber: 63, Title: Glass jar,  Period: Early Imperial,  Date: mid-1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 7 3/16 in. (18.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.142
tempObjectNumber: 64, Title: Bull figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 3 1/2 in. (8.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1763
tempObjectNumber: 65, Title: Intaglio,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 5/16 x 9/16 x 1/8 in. (0.8 x 1.4 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.892
tempObjectNumber: 66, Title: Marble head of Hercules,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. 1 3/8 in. (3.5 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.46
tempObjectNumber: 67, Title: Terracotta neck-amphora (jar),  Attribution: the APZ Painter,  Period: Late Classical,  Date: ca. 330–300 B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; red-figure,  Dimensions: H. 31 in. (78.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.231
tempObjectNumber: 68, Title: Bracelet,  Medium: Silver,  Dimensions: Diameter: 2 13/16 × 5/16 × 5/8 in. (7.2 × 0.7 × 1.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3587
tempObjectNumber: 69, Title: Jug,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 5 15/16in. (15.1cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1172
tempObjectNumber: 70, Title: Lamp,  Date: ca. A.D. 50–100,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 3 1/2 in. (2.2 x 8.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2181
tempObjectNumber: 71, Title: Fragment of a terracotta kylix:band-cup,  Period: Archaic,  Date: mid-6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Other: 1 1/4 x 3/4 x 1/8 in. (3.1 x 2 x 0.3 cm),  Classification: Vases,  Credit Line: Gift of the Honorable Iris Cornelia Love 2011,  Accession Number: 2011.603.26
tempObjectNumber: 72, Title: Marble vase in the form a of a pyxis (box) surmounted by an oinochoe (jug),  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: H.: 11 1/16 in. (28.1 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Funds from various donors 1924,  Accession Number: 24.228a b
tempObjectNumber: 73, Title: Head and upper body of a female figurine,  Period: Cypro-Archaic II,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 5 1/32 in. (12.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1703
tempObjectNumber: 74, Title: Vase fragment,  Date: 1st half of 2nd century A.D.,  Culture: Roman,  Medium: Terracotta; Rhone Valley ware,  Dimensions: 3 7/8 × 5 5/16 × 3/8 in. (9.9 × 13.6 × 1 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2014
tempObjectNumber: 75, Title: Ornament,  Medium: Glass,  Dimensions: Other: 5/16 x 1/8 x 7/16 in. (0.8 x 0.3 x 1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1094
tempObjectNumber: 76, Title: Bronze statuette of a man,  Period: Imperial,  Date: ca. 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: 3 3/8in. (8.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5580
tempObjectNumber: 77, Title: Glass jug with chain handle,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown in a dip mold and trailed,  Dimensions: H. 7 3/16 in. (18.3 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.169
tempObjectNumber: 78, Title: Vase fragment,  Culture: Greek Lydian,  Medium: Terracotta,  Dimensions: Overall: 2 3/4 x 11/16in. (7 x 1.8cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.189
