tempObjectNumber: 61, Title: Glass pendant in the form of a jar,  Period: Late Imperial,  Date: 4th–early 5th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed tooled and trailed,  Dimensions: Height: 3/8 x 5/8 in. (1 x 1.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.438
tempObjectNumber: 62, Title: Gold earring with winged figure,  Period: Hellenistic,  Date: 3rd‒2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Diam.: 13/16 in. (2.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3503
tempObjectNumber: 63, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st–early 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: H.: 2 11/16 in. (6.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1364
tempObjectNumber: 64, Title: Ring,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Silver,  Dimensions: Other: 9/16 x 5/8 x 3/8 in. (1.5 x 1.7 x 1 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.526
tempObjectNumber: 65, Title: Beads 17,  Medium: Glass,  Dimensions: Diameter (smallest bead): 1/4 in. (0.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2351
tempObjectNumber: 66, Title: Vase fragment,  Period: Geometric,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 2 3/4 x 1 5/8in. (7 x 4.1cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.247
tempObjectNumber: 67, Title: Nolan neck-amphora with ridged handles,  Attribution: the Achilles Painter,  Period: Classical,  Date: ca. 440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: 13 7/8in. (35.3cm),  Classification: Vases,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.82
tempObjectNumber: 68, Title: Relief of Daedalus and Icarus,  Date: modern?,  Medium: Marble,  Dimensions: Other: 27 1/2 × 21 15/16 in. (69.9 × 55.7 cm),  Classification: Stone Sculpture,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.115
tempObjectNumber: 69, Title: Marble statuette of Aphrodite Anadyomene (rising) type,  Period: Hellenistic,  Date: late 2nd century B.C.,  Culture: Greek,  Medium: Marble Island,  Dimensions: H. 21 1/2 in. (54.6 cm),  Classification: Stone Sculpture,  Credit Line: Gift of John W. Cross 1950,  Accession Number: 50.10
tempObjectNumber: 70, Title: Alabaster alabastron (perfume vase),  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Cypriot,  Medium: Calcite (alabaster),  Dimensions: Overall: 7 3/4 x 3 3/4 x 3 1/2 in. (19.7 x 9.5 x 8.9 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5084
tempObjectNumber: 71, Title: Pair of gold ornaments comprised of three leech-shaped elements,  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Diam. (each): 1 in. (2.5 cm),  Classification: Gold and Silver,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.19 .20
tempObjectNumber: 72, Title: Steatite Seal,  Period: Middle Minoan II,  Date: ca. 1800–1700 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: H. 5 13/16 in. (14.8 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.43
tempObjectNumber: 73, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 3/4 x 5/8 in. (1.9 x 1.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.2024
tempObjectNumber: 74, Title: Glass lentoid aryballos (perfume bottle),  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Glass; core-formed Group II,  Dimensions: H.1 15/16 in. (5 cm); D.1 5/8 in. (4.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1367
tempObjectNumber: 75, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 3/16 x 11/16 in. (1.5 x 0.5 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3461
tempObjectNumber: 76, Title: Hematite Amygdaloid,  Period: Late Minoan IB–II,  Date: ca. 1500–1400 B.C.,  Culture: Minoan,  Medium: Hematite,  Dimensions: Overall: 15/16 x 9/16 in. (2.4 x 1.5 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.274
