tempObjectNumber: 41, Title: Gilded silver phiale (libation bowl),  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek,  Medium: Gilded silver,  Dimensions: diameter  8in. (20.3cm),  Classification: Gold and Silver,  Credit Line: Purchase Mr. and Mrs. Alexander Abraham Molly and Walter Bareiss Christos and Jo Bastis Lawrence and Barbara Fleischman Mrs. Dolly Goulandris Roy and Marie Neuberger Jonathan and Jeannette Rosen Tom and Colette Spears Shelby White and Leon Levy Ward and Priscilla Woods Nicholas S. Zoullas and Anonymous Gifts and Classical Purchase Fund in honor of Dietrich von Bothmer 1994,  Accession Number: 1994.57
tempObjectNumber: 42, Title: Terracotta cup with one handle,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: H. 2 1/16 in. (5.2 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5858
tempObjectNumber: 43, Title: Juglet,  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 3/4in. (9.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.878
tempObjectNumber: 44, Title: Bead ornaments square 7,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: 3/8 × 3/8 × 1/16 in. (1 × 1 × 0.2 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.75a–e
tempObjectNumber: 45, Title: Terracotta alabastron in the form of a woman,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: H.: 10 in. (25.4 cm),  Classification: Vases,  Credit Line: Purchase Mrs. Helen H. Mertens Gift 1991,  Accession Number: 1991.11.4
tempObjectNumber: 46, Title: Bone spoon,  Date: 1st century A.D.,  Culture: Roman,  Medium: Bone,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5198
tempObjectNumber: 47, Title: Terracotta head of a woman from a statue,  Period: Archaic,  Date: ca. 525–500 B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: 8 1/8 x 4 5/8 in.  (20.6 x 11.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.14
tempObjectNumber: 48, Title: Skyphos,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta; black-figure,  Dimensions: Other (width with handles): 6 3/16in. (15.7cm),  Classification: Vases,  Credit Line: Dodge Fund 1937,  Accession Number: 37.11.2
tempObjectNumber: 49, Title: Intaglio,  Medium: Sapphire,  Dimensions: Other: 3/8 x 5/16 x 3/16 in. (1 x 0.8 x 0.4 cm),  Classification: Gems,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.70
tempObjectNumber: 50, Title: Lead disk with a hole in the center,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.152
tempObjectNumber: 51, Title: Glass bracelet,  Period: Imperial,  Date: ca. 2nd–4th century A.D.,  Culture: Roman,  Medium: Glass; drawn and tooled,  Dimensions: Diam.: 3 in. (7.6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.344
tempObjectNumber: 52, Title: Lekythos,  Attribution: the Haimon Painter,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure white-ground,  Dimensions: Diameter: 2 1/4 × 1 3/8 × 1 7/8 in. (5.8 × 3.6 × 4.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.240
tempObjectNumber: 53, Title: Glass jug,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: Other: 1 7/8in. (4.8cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.116
tempObjectNumber: 54, Title: Lead votive figurine,  Date: 7th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: H.: 1 3/4 in. (4.4 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.10
tempObjectNumber: 55, Title: Carnelian scarab,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Etruscan,  Medium: Carnelian,  Dimensions: H.: 9/16 x 1/2 in. (1.4 x 1.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.679
tempObjectNumber: 56, Title: Glass barrel jug,  Attribution: Frontinus,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown in a three-part mold,  Dimensions: 4 9/16in. (11.6cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.73
tempObjectNumber: 57, Title: Earring with pendants of Eros,  Culture: Greek,  Medium: Gold,  Dimensions: Other (.b): 9/16 × 3/16 × 1 3/16 in. (1.4 × 0.5 × 3 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1914,  Accession Number: 13.234.9a b
tempObjectNumber: 58, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 11/16 in. (2.2 x 1.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1989
tempObjectNumber: 59, Title: Glass flask,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 6 1/4 in. (15.9 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.209
tempObjectNumber: 60, Title: Marble portrait head of Antinoos,  Period: Late Hadrianic,  Date: ca. A.D. 130–138,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 9 1/2 x 8 1/4 in. (24.1 x 21 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Bronson Pinchot in recognition of his mother Rosina Asta Pinchot 1996,  Accession Number: 1996.401
tempObjectNumber: 61, Title: Glass jar,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: H.: 2 13/16 in. (7.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.153
tempObjectNumber: 62, Title: Terracotta column-krater (bowl for mixing wine and water),  Attribution: the Cleveland Painter,  Period: Classical,  Date: ca. 460–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 32.51 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.10
tempObjectNumber: 63, Title: Vase fragment,  Period: Geometric,  Date: ca. 800–700 B.C.,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 15/16 x 1 9/16in. (5 x 3.9cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.144
tempObjectNumber: 64, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: H. 9.70 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2147
tempObjectNumber: 65, Title: Gold earring with head of a lion,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 1/4 x 5/8 in. (1.6 x 0.6 x 1.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3448
tempObjectNumber: 66, Title: Terracotta statuette base,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: Diameter: 4 7/16 in. (11.3 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.36
tempObjectNumber: 67, Title: Krater,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other (rim): 4 1/4in. (10.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.502
tempObjectNumber: 68, Title: Pinhead,  Medium: Glass,  Dimensions: Height: 3/16 x 3/4 in. (0.5 x 1.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.823
tempObjectNumber: 69, Title: Beads 10,  Medium: Glass,  Dimensions: Diameter (largest bead): 9/16 in. (1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.677
tempObjectNumber: 70, Title: Marble statue of Aphrodite crouching and arranging her hair,  Period: Imperial,  Date: 1st or 2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. 52.71 cm.,  Classification: Stone Sculpture,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.119
tempObjectNumber: 71, Title: Vase fragments,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: .h: 1 5/16 × 1 3/4 × 3/8 in. (3.4 × 4.4 × 0.9 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.21a–h
tempObjectNumber: 72, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 7/16 × 1 1/8 × 3/16 in. (3.6 × 2.8 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.145
tempObjectNumber: 73, Title: Hemispherical glass bowl,  Period: Late Hellenistic,  Date: 2nd–mid-1st century B.C.,  Culture: Greek,  Medium: Glass; cast and cut,  Dimensions: Diam.: 5 in. (12.7 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.146
tempObjectNumber: 74, Title: Vase fragment,  Period: Archaic,  Date: 7th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: 15/16 × 1 15/16 × 2 3/8 × 3/16 in. (2.4 × 4.9 × 6.1 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of Elinor R. Price 1926,  Accession Number: 26.211.1
tempObjectNumber: 75, Title: Glass perfume bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 5/8in. (6.7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.20
tempObjectNumber: 76, Title: Limestone funerary kalathos,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 10 1/2 x 7 7/8 in. (26.7 x 20 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2776
tempObjectNumber: 77, Title: Wall painting fragment,  Date: 1st century A.D.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 4 7/16 in. (11.4 cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of Albert Gallatin 1928,  Accession Number: 28.192
tempObjectNumber: 78, Title: Intaglio,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Italic,  Medium: Sard,  Dimensions: Other: 7/16 x 3/8 x 1/8 in. (1.2 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.36
tempObjectNumber: 79, Title: Gold aurei of the Twelve Caesars,  Period: Early Imperial Flavian,  Date: ca. A.D. 69–96,  Culture: Roman,  Medium: Gold amethyst,  Classification: Coins,  Credit Line: Gift of C. Ruxton Love Jr. 1967,  Accession Number: 67.265.8a–f
tempObjectNumber: 80, Title: Gold ring,  Period: Classical,  Date: 3rd quarter of the 5th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: H.: 15/16 in. (2.4 cm),  Classification: Gems,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1123
tempObjectNumber: 81, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 1/16in. (5.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.34
tempObjectNumber: 82, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 1/2 x 7/16 x 3/16 in. (1.3 x 1 x 0.4 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.181
tempObjectNumber: 83, Title: Jug,  Period: Hellenic,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 3 3/16 in. (8.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.857a
tempObjectNumber: 84, Title: Bronze oinochoe (jug),  Period: Classical,  Date: 5th century B.C.,  Culture: Etruscan or Campanian,  Medium: Bronze,  Dimensions: H. 10 11/16 in. (27.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.25
tempObjectNumber: 85, Title: Terracotta kylix: lip-cup (drinking cup),  : Signed by Tleson as potter Attributed to the Tleson Painter,  Period: Archaic,  Date: ca. 540 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  9 3/16 in. (23.3 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.34
tempObjectNumber: 86, Title: Glass bottle,  Period: Late Imperial or Early Byzantine,  Date: 5th century A.D.,  Culture: Roman Syrian,  Medium: Glass; blown trailed and tooled,  Dimensions: H.: 7 3/8 in. (18.7 cm),  Classification: Glass,  Credit Line: Gift of Mrs. Elias Kempner 1934,  Accession Number: 34.132.46
tempObjectNumber: 87, Title: Terracotta statuette of a draped standing woman,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H. 8 11/16 in. (22.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1114
tempObjectNumber: 88, Title: Dish,  Period: Archaic,  Date: ca. 550–500 B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: diameter  4 15/16 in. (12.5 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.145c
tempObjectNumber: 89, Title: Terracotta aryballos (oil flask),  Attribution: the Otterlo Painter,  Period: Middle Corinthian,  Date: ca. 595–570 B.C.,  Culture: Greek Corinthian,  Medium: Terracotta; black-figure,  Dimensions: H. 4 5/8 in. (11.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.20
