tempObjectNumber: 1, Title: Head of a youth,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.22
tempObjectNumber: 43, Title: Bowl,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 3/8in. (6cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1029
tempObjectNumber: 44, Title: Gold funerary wreath,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 12 1/2 in. (31.8 cm),  Classification: Gold and Silver,  Credit Line: Gift of Mrs. Wallace Phillips 1957,  Accession Number: 57.59
tempObjectNumber: 45, Title: Plaque,  Date: 6th–4th century B.C.,  Culture: Egyptian,  Medium: Terracotta,  Dimensions: 1 13/16 x 13/16 x 1/8 in.  (4.6 x 2.1 x 0.3 cm),  Classification: Terracottas,  Credit Line: Gift of Mr. and Mrs. Stephen Kellen 1999,  Accession Number: 1999.289.1
tempObjectNumber: 46, Title: Terracotta oinochoe (jug),  Period: Classical,  Date: 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H.: 8 in. (20.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.183
tempObjectNumber: 47, Title: Jug with lid,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: .b lid: 1 11/16 × 2 11/16 in. (4.3 × 6.9 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.162a b
tempObjectNumber: 48, Title: Terracotta figure wearing a bull mask,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 1/8 in. (13.0 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1619
tempObjectNumber: 49, Title: Vase Fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 3 11/16 × 4 1/16 × 3/16 in. (9.3 × 10.3 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2084
tempObjectNumber: 50, Title: Statuette of Harpokrates,  Medium: Bronze,  Dimensions: H. 1 1/2 in. (3.8 cm),  Classification: Bronzes,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.1366
tempObjectNumber: 51, Title: Red jasper amulet of tyet,  Period: Late Dynastic,  Date: 664–304 B.C.,  Culture: Egyptian,  Medium: Jasper red,  Dimensions: H.: 1 in. (2.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4450
tempObjectNumber: 52, Title: Gold bead,  Period: Late Bronze Age,  Date: ca. 1450–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 1/2 in. (1.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3141
